Year,ResNet,VGG,DenseNet,EfficientNet,ViT
2017-03-31,0.0009,0.0003,0,0,0
2017-06-30,0.0009,0.0005,0.0001,0,0
2017-09-30,0.0011,0.0004,0.0002,0,0
2017-12-31,0.0012,0.0008,0.0003,0,0
2018-03-31,0.0016,0.0009,0.0004,0,0
2018-06-30,0.0014,0.0008,0.0005,0,0
2018-09-30,0.0018,0.001,0.0006,0,0
2018-12-31,0.0018,0.0008,0.0003,0,0
2019-03-31,0.0018,0.0009,0.0002,0,0
2019-06-30,0.0029,0.0009,0.0007,0.0001,0
2019-09-30,0.0019,0.0009,0.0005,0.0001,0
2019-12-31,0.0024,0.001,0.0004,0.0002,0
2020-03-31,0.0022,0.0012,0.0004,0.0002,0
2020-06-30,0.0027,0.0007,0.0007,0.0004,0
2020-09-30,0.0017,0.0006,0.0003,0.0002,0
2020-12-31,0.0023,0.001,0.0006,0.0005,0.0002
2021-03-31,0.0029,0.0009,0.0005,0.0006,0.0005
2021-06-30,0.0018,0.0009,0.0004,0.0001,0.0013
2021-09-30,0.0022,0.0006,0.0004,0,0.0011
2021-12-31,0.0017,0.0006,0.0003,0,0.0016
2022-03-31,0.0018,0.0006,0.0003,0,0.0018
2022-06-30,0.0016,0.0006,0.0002,0.0001,0.0019
2022-9-30,0.0013,0.0005,0.0002,0.0001,0.0024
2022-12-31,0.0017,0.0005,0.0003,0,0.0024
2023-03-31,0.0017,0.0006,0.0003,0.0001,0.0025
2023-06-30,0.0014,0.0006,0.0002,0.0002,0.0024
2023-09-30,0.0015,0.0005,0.0001,0.0003,0.0026
2023-12-31,0.0014,0.0004,0.0002,0.0002,0.0027